2017/06/23 | 10:41:04 | INFO | Starting system.
2017/06/23 | 10:41:04 | INFO | Initializing system components.
2017/06/23 | 10:41:04 | INFO | Attempting to connect to the database.
2017/06/23 | 10:41:05 | INFO | System initialization completed.
2017/06/23 | 10:41:05 | INFO | Database connection success.
2017/06/23 | 10:41:24 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/23 | 10:41:24 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:41:24 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:41:24 | INFO | nyxsys is now online.
2017/06/23 | 10:41:46 | INFO | nyxsys is now offline.
2017/06/23 | 10:41:47 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:41:47 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:41:47 | INFO | nyxsys is now online.
2017/06/23 | 10:41:49 | INFO | nyxsys is now offline.
2017/06/23 | 10:41:49 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:41:49 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:41:49 | INFO | nyxsys is now online.
2017/06/23 | 10:41:51 | INFO | nyxsys is now offline.
2017/06/23 | 10:41:51 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:41:51 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:41:51 | INFO | nyxsys is now online.
2017/06/23 | 10:41:52 | INFO | nyxsys is now offline.
2017/06/23 | 10:41:52 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:41:52 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:41:52 | INFO | nyxsys is now online.
2017/06/23 | 10:42:00 | INFO | nyxsys is now offline.
2017/06/23 | 10:42:00 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:42:00 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:42:00 | INFO | nyxsys is now online.
2017/06/23 | 10:42:24 | INFO | nyxsys is now offline.
2017/06/23 | 10:42:25 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/23 | 10:42:25 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/23 | 10:42:25 | INFO | nyxsys is now online.
2017/06/24 | 08:04:56 | INFO | Starting system.
2017/06/24 | 08:04:56 | INFO | Initializing system components.
2017/06/24 | 08:04:57 | INFO | Attempting to connect to the database.
2017/06/24 | 08:04:59 | INFO | System initialization completed.
2017/06/24 | 08:04:59 | INFO | Database connection success.
2017/06/24 | 08:07:21 | INFO | Starting system.
2017/06/24 | 08:07:21 | INFO | Initializing system components.
2017/06/24 | 08:07:21 | INFO | Attempting to connect to the database.
2017/06/24 | 08:07:22 | INFO | System initialization completed.
2017/06/24 | 08:07:22 | INFO | Database connection success.
2017/06/24 | 08:18:49 | INFO | Starting system.
2017/06/24 | 08:18:49 | INFO | Initializing system components.
2017/06/24 | 08:18:49 | INFO | Attempting to connect to the database.
2017/06/24 | 08:18:49 | INFO | System initialization completed.
2017/06/24 | 08:18:49 | INFO | Database connection success.
2017/06/24 | 08:29:44 | INFO | Starting system.
2017/06/24 | 08:29:44 | INFO | Initializing system components.
2017/06/24 | 08:29:44 | INFO | Attempting to connect to the database.
2017/06/24 | 08:29:44 | INFO | System initialization completed.
2017/06/24 | 08:29:44 | INFO | Database connection success.
2017/06/24 | 08:30:22 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 08:30:23 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:30:23 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:30:23 | INFO | nyxsys is now online.
2017/06/24 | 08:30:30 | INFO | nyxsys is now offline.
2017/06/24 | 08:30:30 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:30:30 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:30:30 | INFO | nyxsys is now online.
2017/06/24 | 08:34:46 | INFO | Starting system.
2017/06/24 | 08:34:46 | INFO | Initializing system components.
2017/06/24 | 08:34:46 | INFO | Attempting to connect to the database.
2017/06/24 | 08:34:46 | INFO | System initialization completed.
2017/06/24 | 08:34:46 | INFO | Database connection success.
2017/06/24 | 08:34:47 | WARN | Issuing page refresh command to socket ID:cbEy8bwac0dv9pRwAAAA REASON : User not found in active sessions
2017/06/24 | 08:34:53 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 08:34:53 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:34:53 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:34:53 | INFO | nyxsys is now online.
2017/06/24 | 08:35:08 | INFO | nyxsys is now offline.
2017/06/24 | 08:35:08 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:35:08 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:35:08 | INFO | nyxsys is now online.
2017/06/24 | 08:40:22 | INFO | Starting system.
2017/06/24 | 08:40:22 | INFO | Initializing system components.
2017/06/24 | 08:40:22 | INFO | Attempting to connect to the database.
2017/06/24 | 08:40:22 | INFO | System initialization completed.
2017/06/24 | 08:40:22 | INFO | Database connection success.
2017/06/24 | 08:40:26 | WARN | Issuing page refresh command to socket ID:PxzZTxQZ0D1cd0lJAAAA REASON : User not found in active sessions
2017/06/24 | 08:40:32 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 08:40:32 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:40:32 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:40:32 | INFO | nyxsys is now online.
2017/06/24 | 08:40:47 | INFO | nyxsys is now offline.
2017/06/24 | 08:40:47 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:40:47 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:40:47 | INFO | nyxsys is now online.
2017/06/24 | 08:42:12 | INFO | Starting system.
2017/06/24 | 08:42:12 | INFO | Initializing system components.
2017/06/24 | 08:42:12 | INFO | Attempting to connect to the database.
2017/06/24 | 08:42:12 | INFO | System initialization completed.
2017/06/24 | 08:42:12 | INFO | Database connection success.
2017/06/24 | 08:42:14 | WARN | Issuing page refresh command to socket ID:kZnVgRvuED_t5nmnAAAA REASON : User not found in active sessions
2017/06/24 | 08:42:20 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 08:42:20 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:42:20 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:42:20 | INFO | nyxsys is now online.
2017/06/24 | 08:42:28 | INFO | nyxsys is now offline.
2017/06/24 | 08:42:28 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 08:42:28 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 08:42:28 | INFO | nyxsys is now online.
2017/06/24 | 10:02:17 | INFO | Starting system.
2017/06/24 | 10:02:17 | INFO | Initializing system components.
2017/06/24 | 10:02:17 | INFO | Attempting to connect to the database.
2017/06/24 | 10:02:17 | INFO | System initialization completed.
2017/06/24 | 10:02:17 | INFO | Database connection success.
2017/06/24 | 10:02:21 | WARN | Issuing page refresh command to socket ID:MIxvLOAehOZKzxHPAAAA REASON : User not found in active sessions
2017/06/24 | 10:02:25 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:02:25 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:02:25 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:02:25 | INFO | nyxsys is now online.
2017/06/24 | 10:02:39 | INFO | nyxsys is now offline.
2017/06/24 | 10:02:40 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:02:40 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:02:40 | INFO | nyxsys is now online.
2017/06/24 | 10:08:31 | INFO | nyxsys logged out from the system : ::ffff:127.0.0.1
2017/06/24 | 10:08:31 | INFO | nyxsys is now offline.
2017/06/24 | 10:09:31 | INFO | Starting system.
2017/06/24 | 10:09:31 | INFO | Initializing system components.
2017/06/24 | 10:09:31 | INFO | Attempting to connect to the database.
2017/06/24 | 10:09:31 | INFO | System initialization completed.
2017/06/24 | 10:09:31 | INFO | Database connection success.
2017/06/24 | 10:09:52 | INFO | namall registered in the system from ::ffff:127.0.0.1
2017/06/24 | 10:09:52 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:09:52 | INFO | namall is now online.
2017/06/24 | 10:10:07 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:10:07 | INFO | namall is now online.
2017/06/24 | 10:10:18 | INFO | namall logged out from the system : ::ffff:127.0.0.1
2017/06/24 | 10:10:25 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:10:25 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:10:25 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:10:25 | INFO | nyxsys is now online.
2017/06/24 | 10:10:44 | INFO | nyxsys is now offline.
2017/06/24 | 10:10:44 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:10:44 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:10:44 | INFO | nyxsys is now online.
2017/06/24 | 10:11:06 | INFO | nyxsys is now offline.
2017/06/24 | 10:11:07 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:11:07 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:11:07 | INFO | nyxsys is now online.
2017/06/24 | 10:12:57 | INFO | nyxsys logged out from the system : ::ffff:127.0.0.1
2017/06/24 | 10:12:57 | INFO | nyxsys is now offline.
2017/06/24 | 10:14:01 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:14:01 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:14:01 | INFO | namall is now online.
2017/06/24 | 10:14:23 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:14:23 | INFO | namall is now online.
2017/06/24 | 10:16:49 | INFO | Starting system.
2017/06/24 | 10:16:49 | INFO | Initializing system components.
2017/06/24 | 10:16:49 | INFO | Attempting to connect to the database.
2017/06/24 | 10:16:49 | INFO | System initialization completed.
2017/06/24 | 10:16:49 | INFO | Database connection success.
2017/06/24 | 10:16:53 | WARN | Issuing page refresh command to socket ID:s_bdidXSlX_aFEXFAAAA REASON : User not found in active sessions
2017/06/24 | 10:16:57 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:16:59 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:16:59 | INFO | namall is now online.
2017/06/24 | 10:17:16 | INFO | namall logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:17:19 | AUTH | namall Authenticated from 127.0.0.1
2017/06/24 | 10:17:19 | INFO | namall is now online.
2017/06/24 | 10:17:27 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:17:27 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:17:27 | AUTH | nyxsys Authenticated from 127.0.0.1
